millis,ldr_voltage,temp,hum,tvoc,eco2,prob0,prob1,prob2,AI_latency_us
390790,0.00,22.60,49.80,60.00,450.00,43,30,27,795
391797,0.00,22.60,49.80,60.00,450.00,43,30,27,782
392798,0.00,22.60,49.80,60.00,450.00,43,30,27,795
393805,0.00,22.60,49.80,60.00,450.00,43,30,27,816
394806,0.00,22.60,49.80,60.00,450.00,43,30,27,809
395814,0.00,22.60,49.90,60.00,450.00,43,30,27,829
396814,0.00,22.60,49.90,60.00,450.00,43,30,27,808
397822,0.00,22.60,49.90,60.00,450.00,43,30,27,824
398822,0.00,22.60,49.90,60.00,450.00,43,30,27,803
399830,0.00,22.60,49.90,60.00,450.00,43,30,27,807
400830,0.00,22.60,49.90,60.00,450.00,43,30,27,823
401838,0.00,22.60,49.90,60.00,450.00,43,30,27,828
402838,0.00,22.60,49.90,60.00,450.00,43,30,27,822
403845,0.00,22.60,49.80,60.00,450.00,43,30,27,814
404846,0.00,22.60,49.80,60.00,450.00,43,30,27,822
405854,0.00,22.60,49.90,60.00,450.00,43,30,27,812
406854,0.00,22.60,49.90,60.00,450.00,43,30,27,824
407861,0.00,22.60,49.80,60.00,450.00,43,30,27,831
408862,0.00,22.60,49.80,60.00,450.00,43,30,27,828
409869,0.00,22.60,49.80,60.00,450.00,43,30,27,828
410870,0.00,22.60,49.80,60.00,450.00,43,30,27,815
411877,0.00,22.60,49.90,60.00,450.00,43,30,27,784
412878,0.00,22.60,49.90,60.00,450.00,43,30,27,784
413886,0.00,22.60,49.90,60.00,450.00,43,30,27,794
414886,0.00,22.60,49.90,60.00,450.00,43,30,27,827
415894,0.00,22.60,49.90,60.00,450.00,43,30,27,835
416894,0.00,22.60,49.90,60.00,450.00,43,30,27,807
417902,0.00,22.60,49.90,60.00,450.00,43,30,27,811
418902,0.00,22.60,49.90,60.00,450.00,43,30,27,809
419910,0.00,22.60,49.90,60.00,450.00,43,30,27,812
420910,0.00,22.60,49.90,60.00,450.00,43,30,27,822
421918,0.00,22.60,49.90,60.00,450.00,43,30,27,830
422918,0.00,22.60,49.90,60.00,450.00,43,30,27,828
423926,0.00,22.60,49.90,60.00,450.00,43,30,27,832
424926,0.00,22.60,49.90,60.00,450.00,43,30,27,820
425934,0.00,22.60,49.90,60.00,450.00,43,30,27,829
426935,0.00,22.60,49.90,60.00,450.00,43,30,27,834
427942,0.00,22.60,49.90,60.00,450.00,43,30,27,832
428943,0.00,22.60,49.90,60.00,450.00,43,30,27,832
429949,0.00,22.60,49.80,60.00,450.00,43,30,27,813
430950,0.00,22.60,49.80,60.00,450.00,43,30,27,792
431957,0.00,22.60,49.80,60.00,450.00,43,30,27,782
432958,0.00,22.60,49.80,60.00,450.00,43,30,27,781
433965,0.00,22.60,49.80,60.00,450.00,43,30,27,802
434966,0.00,22.60,49.80,60.00,450.00,43,30,27,815
435973,0.00,22.60,49.80,60.00,450.00,43,30,27,834
436974,0.00,22.60,49.80,60.00,450.00,43,30,27,793
437981,0.00,22.60,49.80,60.00,450.00,43,30,27,816
438982,0.00,22.60,49.80,60.00,450.00,43,30,27,805
439989,0.00,22.60,49.70,60.00,450.00,43,30,27,827
440990,0.00,22.60,49.70,60.00,450.00,43,30,27,824
441997,0.00,22.60,49.70,60.00,450.00,43,30,27,827
442998,0.00,22.60,49.70,60.00,450.00,43,30,27,818
444005,0.00,22.60,49.70,60.00,450.00,43,30,27,827
445006,0.00,22.60,49.70,60.00,450.00,43,30,27,826
